sort_order,page,letter,code,code_type,headword,sub_headword,term,site_restriction,obs,see_snomed,see_also,is_headword_entry
2803,136,E,8152/3,morphology,"Enteroglucagonoma, malignant",,"Enteroglucagonoma, malignant",,false,false,,true
2804,136,E,8152/1,morphology,"Enteroglucagonoma, NOS",,"Enteroglucagonoma, NOS",,false,false,,true
2805,136,E,8280/3,morphology,Eosinophil,,adenocarcinoma (C75.1),C75.1,false,false,,false
2806,136,E,8280/0,morphology,Eosinophil,,adenoma (C75.1),C75.1,false,false,,false
2807,136,E,8280/3,morphology,Eosinophil,,carcinoma (C75.1),C75.1,false,false,,false
2808,136,E,9751/3,morphology,Eosinophilic granuloma,,Eosinophilic granuloma [obs],,true,false,,true
2809,136,E,C71.5,topography,Ependyma,,Ependyma,,false,false,,true
2810,136,E,9392/3,morphology,Ependymoblastoma (C71._),,Ependymoblastoma (C71._),,false,false,,true
2811,137,E,9391/3,morphology,Ependymoma,,NOS (C71._),,false,false,,false
2812,137,E,9392/3,morphology,Ependymoma,,anaplastic (C71._),,false,false,,false
2813,137,E,9391/3,morphology,Ependymoma,,cellular (C71._),,false,false,,false
2814,137,E,9391/3,morphology,Ependymoma,,clear cell (C71._),,false,false,,false
2815,137,E,9391/3,morphology,Ependymoma,,epithelial (C71._),,false,false,,false
2816,137,E,9394/1,morphology,Ependymoma,,myxopapillary (C72.0),C72.0,false,false,,false
2817,137,E,9393/3,morphology,Ependymoma,,papillary (C71._),,false,false,,false
2818,137,E,9391/3,morphology,Ependymoma,,tanycytic (C71._),,false,false,,false
2819,137,E,9383/1,morphology,"Ependymoma-subependymoma, mixed",,"Ependymoma-subependymoma, mixed (C71._)",,false,false,,true
2820,137,E,,,"Ependymoma-subependymoma, mixed",,Ephelis (see SNOMED),,false,true,,false
2821,137,E,C38.0,topography,Epicardium,,Epicardium,,false,false,,true
2822,137,E,8760/0,morphology,Epidermal and dermal nevus (C44._),,Epidermal and dermal nevus (C44._),,false,false,,true
2823,137,E,8070/3,morphology,Epidermoid carcinoma,,NOS,,false,false,,false
2824,137,E,8560/3,morphology,Epidermoid carcinoma,,"and adenocarcinoma, mixed",,false,false,,false
2825,137,E,8070/2,morphology,Epidermoid carcinoma,,"in situ, NOS",,false,false,,false
2826,137,E,8076/2,morphology,Epidermoid carcinoma,,in situ with questionable stromal invasion,,false,false,,false
2827,137,E,8071/3,morphology,Epidermoid carcinoma,,keratinizing,,false,false,,false
2828,137,E,8072/3,morphology,Epidermoid carcinoma,,"large cell, nonkeratinizing",,false,false,,false
2829,137,E,8052/3,morphology,Epidermoid carcinoma,,papillary,,false,false,,false
2830,137,E,8073/3,morphology,Epidermoid carcinoma,,"small cell, nonkeratinizing",,false,false,,false
2831,137,E,8074/3,morphology,Epidermoid carcinoma,,spindle cell,,false,false,,false
2832,137,E,8051/3,morphology,Epidermoid carcinoma,,verrucous,,false,false,,false
2833,137,E,,,Epidermoid carcinoma,,Epidermoid cholesteatoma (see SNOMED),,false,true,,false
2834,137,E,,,Epidermoid carcinoma,,Epidermoid cyst (see SNOMED),,false,true,,false
2835,137,E,C63.0,topography,Epididymis,,Epididymis,,false,false,,true
2836,137,E,C72.9,topography,Epidural,,Epidural,,false,false,,true
2837,137,E,C32.1,topography,Epiglottis,,NOS (excludes anterior surface of epiglottis C10.1),,false,false,,false
2838,137,E,C10.1,topography,Epiglottis,,anterior surface,,false,false,,false
2839,137,E,C32.1,topography,Epiglottis,,posterior surface,,false,false,,false
2840,137,E,9391/3,morphology,Epithelial,,ependymoma (C71.1),C71.1,false,false,,false
2841,137,E,8452/1,morphology,Epithelial,,"neoplasm, solid and papillary (C25._)",,false,false,,false
2842,137,E,9340/0,morphology,Epithelial,,"odontogenic tumor, calcifying (C41._)",,false,false,,false
2843,137,E,8975/1,morphology,Epithelial,,"stromal tumor, calcifying nested (C22.0)",C22.0,false,false,,false
2844,137,E,8585/3,morphology,Epithelial,,"thymoma, malignant (C37.9)",C37.9,false,false,,false
2845,137,E,8585/1,morphology,Epithelial,,"thymoma, NOS (C37.9)",C37.9,false,false,,false
2846,137,E,8010/0,morphology,Epithelial,Tumor,benign,,false,false,,false
2847,137,E,8010/3,morphology,Epithelial,Tumor,malignant,,false,false,,false
2848,137,E,8588/3,morphology,Epithelial,Tumor,"spindle, with thymus-like differentiation",,false,false,,false
2849,137,E,8588/3,morphology,Epithelial,Tumor,"spindle, with thymus-like element",,false,false,,false
2850,137,E,8970/3,morphology,"Epithelial-mesenchymal hepatoblastoma,",,"Epithelial-mesenchymal hepatoblastoma, mixed (C22.0)",C22.0,false,false,,true
2851,137,E,8562/3,morphology,Epithelial-myoepithelial carcinoma,,Epithelial-myoepithelial carcinoma,,false,false,,true
2852,137,E,8770/3,morphology,Epithelioid,,"and spindle cell melanoma, mixed",,false,false,,false
2853,137,E,8770/0,morphology,Epithelioid,,and spindle cell nevus (C44._),,false,false,,false
2854,137,E,8771/3,morphology,Epithelioid,Cell,melanoma,,false,false,,false
2855,137,E,8771/0,morphology,Epithelioid,Cell,nevus (C44._),,false,false,,false
2856,137,E,8804/3,morphology,Epithelioid,Cell,sarcoma,,false,false,,false
2857,137,E,9042/3,morphology,Epithelioid,Cell,synovial sarcoma,,false,false,,false
2858,137,E,9133/3,morphology,Epithelioid,,"hemangioendothelioma, malignant",,false,false,,false
2859,137,E,9133/1,morphology,Epithelioid,,"hemangioendothelioma, NOS",,false,false,,false
2860,137,E,9125/0,morphology,Epithelioid,,hemangioma,,false,false,,false
2861,137,E,8970/3,morphology,Epithelioid,,hepatoblastoma (C22.0),C22.0,false,false,,false
2862,137,E,8891/0,morphology,Epithelioid,,leiomyoma,,false,false,,false
2863,137,E,8891/3,morphology,Epithelioid,,leiomyosarcoma,,false,false,,false
2864,137,E,9052/3,morphology,Epithelioid,Mesothelioma,NOS,,false,false,,false
2865,137,E,9052/0,morphology,Epithelioid,Mesothelioma,benign,,false,false,,false
2866,137,E,9052/3,morphology,Epithelioid,Mesothelioma,malignant,,false,false,,false
2867,137,E,9540/3,morphology,Epithelioid,,MPNST,,false,false,,false
2868,137,E,8804/3,morphology,Epithelioid,,sarcoma,,false,false,,false
2869,137,E,9105/3,morphology,Epithelioid,,trophoblastic tumor,,false,false,,false
2870,137,E,8011/3,morphology,Epithelioma,,NOS,,false,false,,false
2871,137,E,8100/0,morphology,Epithelioma,,adenoides cysticum (C44._),,false,false,,false
2872,137,E,8090/3,morphology,Epithelioma,,basal cell (C44._),,false,false,,false
2873,137,E,8011/0,morphology,Epithelioma,,benign,,false,false,,false
2874,137,E,8110/0,morphology,Epithelioma,,"calcifying, Malherbe (C44._)",,false,false,,false
2875,137,E,8096/0,morphology,Epithelioma,,"intraepidermal, Jadassohn (C44._)",,false,false,,false
2876,137,E,8011/3,morphology,Epithelioma,,malignant,,false,false,,false
2877,137,E,8410/0,morphology,Epithelioma,,sebaceous (C44._),,false,false,,false
2878,137,E,8070/3,morphology,Epithelioma,,squamous cell,,false,false,,false
2879,137,E,C77.3,topography,Epitrochlear lymph node,,Epitrochlear lymph node,,false,false,,true
2880,137,E,,,Epitrochlear lymph node,,Eruption cyst (see SNOMED),,false,true,,false
2881,137,E,9840/3,morphology,"Erythremia, acute",,"Erythremia, acute (C42.1) [obs]",C42.1,true,false,,true
2882,137,E,9950/3,morphology,"Erythremia, chronic",,"Erythremia, chronic (C42.1) [obs]",C42.1,true,false,,true
2883,137,E,9840/3,morphology,"Erythremic myelosis, acute",,"Erythremic myelosis, acute (C42.1) [obs]",C42.1,true,false,,true
2884,137,E,9840/3,morphology,"Erythremic myelosis, NOS",,"Erythremic myelosis, NOS (C42.1)",C42.1,false,false,,true
2885,137,E,9840/3,morphology,Erythroleukemia,,Erythroleukemia (C42.1),C42.1,false,false,,true
2886,137,E,8080/2,morphology,"Erythroplasia, Queyrat (C60._)",,"Erythroplasia, Queyrat (C60._)",,false,false,,true
2887,137,E,8148/2,morphology,Esophageal,,"glandular dysplasia (intraepithelial neoplasia), high grade (C15._)",,false,false,,false
2888,137,E,8148/0,morphology,Esophageal,,"glandular dysplasia (intraepithelial neoplasia), low grade (C15._)",,false,false,,false
2889,137,E,8148/2,morphology,Esophageal,,"glandular intraepithelial neoplasia, high grade (C15._)",,false,false,,false
2890,137,E,8148/0,morphology,Esophageal,,"glandular intraepithelial neoplasia, low grade (C15._)",,false,false,,false
2891,137,E,8077/2,morphology,Esophageal,,"squamous intraepithelial neoplasia (dysplasia), high grade (C15._)",,false,false,,false
2892,137,E,8077/0,morphology,Esophageal,,"squamous intraepithelial neoplasia (dysplasia), low grade (C15._)",,false,false,,false
2893,138,E,C77.1,topography,Esophageal lymph node,,Esophageal lymph node,,false,false,,true
2894,138,E,C16.0,topography,Esophagogastric junction,,Esophagogastric junction,,false,false,,true
2895,138,E,C15.9,topography,Esophagus,,NOS,,false,false,,false
2896,138,E,C15.2,topography,Esophagus,,abdominal,,false,false,,false
2897,138,E,C15.0,topography,Esophagus,,cervical,,false,false,,false
2898,138,E,C15.5,topography,Esophagus,,distal third,,false,false,,false
2899,138,E,C15.5,topography,Esophagus,,lower third,,false,false,,false
2900,138,E,C15.4,topography,Esophagus,,middle third,,false,false,,false
2901,138,E,C15.3,topography,Esophagus,,proximal third,,false,false,,false
2902,138,E,C15.1,topography,Esophagus,,thoracic,,false,false,,false
2903,138,E,C15.3,topography,Esophagus,,upper third,,false,false,,false
2904,138,E,,,Esophagus,,"Esophagus, Barrett (see SNOMED)",,false,true,,false
2905,138,E,9962/3,morphology,Essential thrombocythemia,,Essential thrombocythemia (C42.1),C42.1,false,false,,true
2906,138,E,9962/3,morphology,"Essential thrombocythemia, hemorrhagic",,"Essential thrombocythemia, hemorrhagic (C42.1)",C42.1,false,false,,true
2907,138,E,9522/3,morphology,Esthesioneuroblastoma (C30._),,Esthesioneuroblastoma (C30._),,false,false,,true
2908,138,E,9521/3,morphology,Esthesioneurocytoma (C30._),,Esthesioneurocytoma (C30._),,false,false,,true
2909,138,E,9523/3,morphology,Esthesioneuroepithelioma (C30._),,Esthesioneuroepithelioma (C30._),,false,false,,true
2910,138,E,C41.0,topography,Ethmoid bone,,Ethmoid bone,,false,false,,true
2911,138,E,C31.1,topography,Ethmoid sinus,,Ethmoid sinus,,false,false,,true
2912,138,E,C30.1,topography,Eustachian tube,,Eustachian tube,,false,false,,true
2913,138,E,9260/3,morphology,"Ewing sarcoma (C40._, C41._)",,"Ewing sarcoma (C40._, C41._)",,false,false,,true
2914,138,E,9260/3,morphology,"Ewing tumor (C40._, C41._)",,"Ewing tumor (C40._, C41._)",,false,false,,true
2915,138,E,9984/3,morphology,"Excess blasts in transformation, refractory",,"Excess blasts in transformation, refractory anemia with (RAEB-T) [obs]",,true,false,,true
2916,138,E,9983/3,morphology,"Excess blasts, refractory anemia with",,"Excess blasts, refractory anemia with",,false,false,,true
2917,138,E,C53.1,topography,Exocervix,,Exocervix,,false,false,,true
2918,138,E,8154/3,morphology,Exocrine,,"and endocrine adenocarcinoma, mixed (C25._)",,false,false,,false
2919,138,E,8154/3,morphology,Exocrine,,"and endocrine tumor, malignant mixed (C25._)",,false,false,,false
2920,138,E,8154/3,morphology,Exocrine,,"and islet cell adenocarcinoma, mixed (C25._)",,false,false,,false
2921,138,E,8121/0,morphology,"Exophytic sinonasal papilloma (C30.0,",,"Exophytic sinonasal papilloma (C30.0, C31._)",,false,false,,true
2922,138,E,,,Exostosis,,NOS (see SNOMED),,false,true,,false
2923,138,E,9210/0,morphology,Exostosis,,"cartilaginous (C40._, C41._)",,false,false,,false
2924,138,E,9210/0,morphology,Exostosis,,"osteocartilaginous (C40._, C41._)",,false,false,,false
2925,138,E,9471/3,morphology,"Extensive nodularity, medulloblastoma with",,"Extensive nodularity, medulloblastoma with",,false,false,,true
2926,138,E,C44.2,topography,External,,auditory canal,,false,false,,false
2927,138,E,C44.2,topography,External,,auditory meatus,,false,false,,false
2928,138,E,C44.2,topography,External,,auricular canal,,false,false,,false
2929,138,E,C44.3,topography,External,,cheek,,false,false,,false
2930,138,E,C44.2,topography,External,,ear,,false,false,,false
2931,138,E,C51.9,topography,External,,female genitalia,,false,false,,false
2932,138,E,C00.1,topography,External,,"lip, lower",,false,false,,false
2933,138,E,C00.2,topography,External,,"lip, NOS",,false,false,,false
2934,138,E,C00.0,topography,External,,"lip, upper",,false,false,,false
2935,138,E,C44.3,topography,External,,nose,,false,false,,false
2936,138,E,C53.1,topography,External,,os,,false,false,,false
2937,138,E,,,External,,External endometriosis (see SNOMED),,false,true,,false
2938,138,E,8821/1,morphology,Extra-abdominal desmoid,,Extra-abdominal desmoid,,false,false,,true
2939,138,E,8693/3,morphology,"Extra-adrenal paraganglioma, malignant",,"Extra-adrenal paraganglioma, malignant",,false,false,,true
2940,138,E,8693/1,morphology,"Extra-adrenal paraganglioma, NOS",,"Extra-adrenal paraganglioma, NOS",,false,false,,true
2941,138,E,9740/1,morphology,Extracutaneous mastocytoma,,Extracutaneous mastocytoma,,false,false,,true
2942,138,E,C72.9,topography,Extradural,,Extradural,,false,false,,true
2943,138,E,C24.0,topography,Extrahepatic bile duct,,Extrahepatic bile duct,,false,false,,true
2944,138,E,8542/3,morphology,Extramammary Paget disease (except Paget,,Extramammary Paget disease (except Paget disease of bone),,false,false,,true
2945,138,E,9734/3,morphology,Extramedullary plasmacytoma (not,,Extramedullary plasmacytoma (not occurring in bone),,false,false,,true
2946,138,E,C69.6,topography,Extraocular muscle,,Extraocular muscle,,false,false,,true
2947,138,E,9734/3,morphology,Extraosseous plasmacytoma,,Extraosseous plasmacytoma,,false,false,,true
2948,138,E,9506/1,morphology,Extraventricular neurocytoma,,Extraventricular neurocytoma,,false,false,,true
2949,138,E,C32.1,topography,Extrinsic larynx,,Extrinsic larynx,,false,false,,true
2950,138,E,C69.9,topography,Eye,,NOS,,false,false,,false
2951,138,E,C44.1,topography,Eye,,"canthus, inner",,false,false,,false
2952,138,E,C44.1,topography,Eye,,"canthus, NOS",,false,false,,false
2953,138,E,C44.1,topography,Eye,,"canthus, outer",,false,false,,false
2954,138,E,C69.3,topography,Eye,,choroid,,false,false,,false
2955,138,E,C69.4,topography,Eye,,ciliary body,,false,false,,false
2956,138,E,C69.0,topography,Eye,,conjunctiva,,false,false,,false
2957,138,E,C69.6,topography,Eye,,"connective tissue, orbit",,false,false,,false
2958,138,E,C69.1,topography,Eye,,"cornea, limbus",,false,false,,false
2959,138,E,C69.1,topography,Eye,,"cornea, NOS",,false,false,,false
2960,138,E,C69.4,topography,Eye,,crystalline lens,,false,false,,false
2961,138,E,C69.6,topography,Eye,,extraocular muscle,,false,false,,false
2962,138,E,C69.4,topography,Eye,,eyeball,,false,false,,false
2963,138,E,C44.3,topography,Eye,,eyebrow,,false,false,,false
2964,138,E,C44.1,topography,Eye,,"eyelid, lower",,false,false,,false
2965,138,E,C44.1,topography,Eye,,"eyelid, NOS",,false,false,,false
2966,138,E,C44.1,topography,Eye,,"eyelid, upper",,false,false,,false
2967,138,E,C44.1,topography,Eye,,inner canthus,,false,false,,false
2968,138,E,C69.4,topography,Eye,,intraocular,,false,false,,false
2969,138,E,C69.4,topography,Eye,,iris,,false,false,,false
2970,138,E,C69.5,topography,Eye,,"lacrimal duct, nasal",,false,false,,false
2971,138,E,C69.5,topography,Eye,,"lacrimal duct, NOS",,false,false,,false
2972,138,E,C69.5,topography,Eye,,lacrimal gland,,false,false,,false
2973,138,E,C69.5,topography,Eye,,lacrimal sac,,false,false,,false
2974,138,E,C69.4,topography,Eye,,"lens, crystalline",,false,false,,false
2975,138,E,C44.1,topography,Eye,,Meibomian gland,,false,false,,false
2976,138,E,C69.6,topography,Eye,,"muscle, extra-ocular",,false,false,,false
2977,138,E,C69.5,topography,Eye,,nasal lacrimal duct,,false,false,,false
2978,138,E,C69.5,topography,Eye,,nasolacrimal duct,,false,false,,false
2979,138,E,C72.3,topography,Eye,,optic nerve,,false,false,,false
2980,138,E,C69.6,topography,Eye,,"orbit, connective tissue",,false,false,,false
2981,138,E,C69.6,topography,Eye,,"orbit, NOS",,false,false,,false
2982,138,E,C69.6,topography,Eye,,"orbit, soft tissue",,false,false,,false
2983,138,E,C44.1,topography,Eye,,outer canthus,,false,false,,false
2984,138,E,C44.1,topography,Eye,,palpebra,,false,false,,false
2985,139,E,C69.2,topography,Eye,,retina,,false,false,,false
2986,139,E,C69.6,topography,Eye,,retrobulbar tissue,,false,false,,false
2987,139,E,C69.4,topography,Eye,,sclera,,false,false,,false
2988,139,E,C69.4,topography,Eye,,uveal tract,,false,false,,false
2989,139,E,C69.4,topography,Eyeball,,Eyeball,,false,false,,true
2990,139,E,C44.1,topography,Eyelid,,NOS,,false,false,,false
2991,139,E,C44.1,topography,Eyelid,,lower,,false,false,,false
2992,139,E,C44.1,topography,Eyelid,,upper,,false,false,,false
2993,139,F,,,Eyelid,,"FAB (see Leukemia, FAB)",,false,false,,false
2994,139,F,C76.0,topography,Face,,NOS,,false,false,,false
2995,139,F,C44.3,topography,Face,,"NOS (carcinoma, melanoma, nevus)",,false,false,,false
2996,139,F,C49.0,topography,Face,,"NOS (sarcoma, lipoma)",,false,false,,false
2997,139,F,C49.0,topography,Face,,adipose tissue,,false,false,,false
2998,139,F,C41.0,topography,Face,,bone (excludes mandible C41.1),,false,false,,false
2999,139,F,C49.0,topography,Face,,connective tissue,,false,false,,false
3000,139,F,C49.0,topography,Face,,fatty tissue,,false,false,,false
3001,139,F,C49.0,topography,Face,,fibrous tissue,,false,false,,false
3002,139,F,C77.0,topography,Face,,lymph node,,false,false,,false
3003,139,F,C49.0,topography,Face,,muscle,,false,false,,false
3004,139,F,C49.0,topography,Face,,skeletal muscle,,false,false,,false
3005,139,F,C44.3,topography,Face,,skin,,false,false,,false
3006,139,F,C49.0,topography,Face,,soft tissue,,false,false,,false
3007,139,F,C49.0,topography,Face,,subcutaneous tissue,,false,false,,false
3008,139,F,C41.0,topography,Facial,,bone,,false,false,,false
3009,139,F,C77.0,topography,Facial,,lymph node,,false,false,,false
3010,139,F,C72.5,topography,Facial,,nerve,,false,false,,false
3011,139,F,C57.0,topography,Fallopian tube,,Fallopian tube,,false,false,,true
3012,139,F,C32.1,topography,False cord,,False cord,,false,false,,true
3013,139,F,C32.1,topography,False vocal cord,,False vocal cord,,false,false,,true
3014,139,F,C70.0,topography,Falx,,NOS,,false,false,,false
3015,139,F,C70.0,topography,Falx,,cerebelli,,false,false,,false
3016,139,F,C70.0,topography,Falx,,cerebri,,false,false,,false
3017,139,F,8220/0,morphology,Familial polyposis coli (C18._),,Familial polyposis coli (C18._),,false,false,,true
3018,139,F,C49.9,topography,Fascia,,NOS,,false,false,,false
3019,139,F,C49.1,topography,Fascia,,palmar,,false,false,,false
3020,139,F,C49.2,topography,Fascia,,plantar,,false,false,,false
3021,139,F,8813/0,morphology,Fascial fibroma,,Fascial fibroma,,false,false,,true
3022,139,F,8813/3,morphology,Fascial fibrosarcoma,,Fascial fibrosarcoma,,false,false,,true
3023,139,F,,,Fasciitis,,infiltrative (see SNOMED),,false,true,,false
3024,139,F,,,Fasciitis,,nodular (see SNOMED),,false,true,,false
3025,139,F,,,Fasciitis,,pseudosarcomatous (see SNOMED),,false,true,,false
3026,139,F,8880/0,morphology,Fat,,"cell lipoma, fetal",,false,false,,false
3027,139,F,,,Fat,,necrosis (see SNOMED),,false,true,,false
3028,139,F,8880/0,morphology,Fat,,"tumor, brown",,false,false,,false
3029,139,F,C49.9,topography,Fatty tissue,,NOS,,false,false,,false
3030,139,F,C49.4,topography,Fatty tissue,,abdominal wall,,false,false,,false
3031,139,F,C49.1,topography,Fatty tissue,,antecubital space,,false,false,,false
3032,139,F,C49.1,topography,Fatty tissue,,arm,,false,false,,false
3033,139,F,C49.3,topography,Fatty tissue,,axilla,,false,false,,false
3034,139,F,C49.6,topography,Fatty tissue,,back,,false,false,,false
3035,139,F,C49.5,topography,Fatty tissue,,buttock,,false,false,,false
3036,139,F,C49.2,topography,Fatty tissue,,calf,,false,false,,false
3037,139,F,C49.0,topography,Fatty tissue,,cervical region,,false,false,,false
3038,139,F,C49.0,topography,Fatty tissue,,cheek,,false,false,,false
3039,139,F,C49.3,topography,Fatty tissue,,chest wall,,false,false,,false
3040,139,F,C49.0,topography,Fatty tissue,,face,,false,false,,false
3041,139,F,C49.6,topography,Fatty tissue,,flank,,false,false,,false
3042,139,F,C49.2,topography,Fatty tissue,,foot,,false,false,,false
3043,139,F,C49.1,topography,Fatty tissue,,forearm,,false,false,,false
3044,139,F,C49.5,topography,Fatty tissue,,gluteal region,,false,false,,false
3045,139,F,C49.5,topography,Fatty tissue,,groin,,false,false,,false
3046,139,F,C49.1,topography,Fatty tissue,,hand,,false,false,,false
3047,139,F,C49.0,topography,Fatty tissue,,head,,false,false,,false
3048,139,F,C49.2,topography,Fatty tissue,,hip,,false,false,,false
3049,139,F,C49.3,topography,Fatty tissue,,infraclavicular region,,false,false,,false
3050,139,F,C49.5,topography,Fatty tissue,,inguinal region,,false,false,,false
3051,139,F,C49.2,topography,Fatty tissue,,knee,,false,false,,false
3052,139,F,C49.2,topography,Fatty tissue,,leg,,false,false,,false
3053,139,F,C49.0,topography,Fatty tissue,,neck,,false,false,,false
3054,139,F,C49.2,topography,Fatty tissue,,popliteal space,,false,false,,false
3055,139,F,C49.5,topography,Fatty tissue,,sacrococcygeal region,,false,false,,false
3056,139,F,C49.0,topography,Fatty tissue,,scalp,,false,false,,false
3057,139,F,C49.1,topography,Fatty tissue,,shoulder,,false,false,,false
3058,139,F,C49.0,topography,Fatty tissue,,supraclavicular region,,false,false,,false
3059,139,F,C49.0,topography,Fatty tissue,,temple,,false,false,,false
3060,139,F,C49.2,topography,Fatty tissue,,thigh,,false,false,,false
3061,139,F,C49.6,topography,Fatty tissue,,"trunk, NOS",,false,false,,false
3062,139,F,C10.9,topography,"Fauces, NOS",,"Fauces, NOS",,false,false,,true
3063,139,F,C09.1,topography,Faucial pillar,,Faucial pillar,,false,false,,true
3064,139,F,C09.9,topography,Faucial tonsil,,Faucial tonsil,,false,false,,true
3065,139,F,C51.9,topography,Female,,"genitalia, external",,false,false,,false
3066,139,F,C57.9,topography,Female,,"genital organs, NOS",,false,false,,false
3067,139,F,C57.9,topography,Female,,"genital tract, NOS",,false,false,,false
3068,139,F,C57.9,topography,Female,,"genitourinary tract, NOS",,false,false,,false
3069,140,F,C49.2,topography,Femoral,,artery,,false,false,,false
3070,140,F,C77.4,topography,Femoral,,lymph node,,false,false,,false
3071,140,F,C47.2,topography,Femoral,,nerve,,false,false,,false
3072,140,F,C40.2,topography,Femur,,Femur,,false,false,,true
3073,140,F,8333/3,morphology,Fetal,,adenocarcinoma (C73.9),C73.9,false,false,,false
3074,140,F,8333/0,morphology,Fetal,,adenoma (C73.9),C73.9,false,false,,false
3075,140,F,8880/0,morphology,Fetal,,fat cell lipoma,,false,false,,false
3076,140,F,8881/0,morphology,Fetal,,"lipoma, NOS",,false,false,,false
3077,140,F,8881/0,morphology,Fetal,,lipomatosis,,false,false,,false
3078,140,F,8903/0,morphology,Fetal,,rhabdomyoma,,false,false,,false
3079,140,F,C58.9,topography,Fetal membranes,,Fetal membranes,,false,false,,true
3080,140,F,9867/3,morphology,"FGFR1 abnormalities, myeloid and",,"FGFR1 abnormalities, myeloid and lymphoid neoplasms with",,false,false,,true
3081,140,F,9420/3,morphology,Fibrillary astrocytoma (C71._),,Fibrillary astrocytoma (C71._),,false,false,,true
3082,140,F,9010/0,morphology,Fibroadenoma,,NOS (C50._),,false,false,,false
3083,140,F,9016/0,morphology,Fibroadenoma,,giant (C50._),,false,false,,false
3084,140,F,9011/0,morphology,Fibroadenoma,,intracanalicular (C50._),,false,false,,false
3085,140,F,9030/0,morphology,Fibroadenoma,,juvenile (C50._),,false,false,,false
3086,140,F,9012/0,morphology,Fibroadenoma,,pericanalicular (C50._),,false,false,,false
3087,140,F,9290/0,morphology,Fibroameloblastic odontoma (C41._),,Fibroameloblastic odontoma (C41._),,false,false,,true
3088,140,F,8857/3,morphology,Fibroblastic,,liposarcoma,,false,false,,false
3089,140,F,9532/0,morphology,Fibroblastic,,meningioma (C70._),,false,false,,false
3090,140,F,9182/3,morphology,Fibroblastic,,"osteosarcoma (C40._, C41._)",,false,false,,false
3091,140,F,9759/3,morphology,Fibroblastic,,reticular cell tumor,,false,false,,false
3092,140,F,8834/1,morphology,"Fibroblastoma, giant cell",,"Fibroblastoma, giant cell",,false,false,,true
3093,140,F,9220/3,morphology,"Fibrochondrosarcoma (C40._, C41._)",,"Fibrochondrosarcoma (C40._, C41._)",,false,false,,true
3094,140,F,,,"Fibrochondrosarcoma (C40._, C41._)",,"Fibrocystic disease, NOS (see SNOMED)",,false,true,,false
3095,140,F,9271/0,morphology,"Fibrodentinoma, ameloblastic (C41._)",,"Fibrodentinoma, ameloblastic (C41._)",,false,false,,true
3096,140,F,9290/3,morphology,"Fibrodentinosarcoma, ameloblastic (C41._)",,"Fibrodentinosarcoma, ameloblastic (C41._)",,false,false,,true
3097,140,F,8093/3,morphology,Fibroepithelial,,basal cell carcinoma (C44._),,false,false,,false
3098,140,F,8093/3,morphology,Fibroepithelial,,"basal cell carcinoma, Pinkus type",,false,false,,false
3099,140,F,,,Fibroepithelial,,papilloma (see SNOMED),,false,true,,false
3100,140,F,,,Fibroepithelial,,polyp (see SNOMED),,false,true,,false
3101,140,F,8093/3,morphology,"Fibroepithelioma, NOS",,"Fibroepithelioma, NOS",,false,false,,true
3102,140,F,8093/3,morphology,Fibroepithelioma of Pinkus type,,Fibroepithelioma of Pinkus type,,false,false,,true
3103,140,F,8391/0,morphology,Fibrofolliculoma (C44._),,Fibrofolliculoma (C44._),,false,false,,true
3104,140,F,8835/1,morphology,"Fibrohistiocytic tumor, plexiform",,"Fibrohistiocytic tumor, plexiform",,false,false,,true
3105,140,F,8890/0,morphology,Fibroid uterus,,Fibroid uterus (C55.9),C55.9,false,false,,true
3106,140,F,8171/3,morphology,Fibrolamellar hepatocellular carcinoma,,Fibrolamellar hepatocellular carcinoma (C22.0),C22.0,false,false,,true
3107,140,F,8851/0,morphology,Fibrolipoma,,Fibrolipoma,,false,false,,true
3108,140,F,8850/3,morphology,Fibroliposarcoma,,Fibroliposarcoma,,false,false,,true
3109,140,F,8810/0,morphology,Fibroma,,NOS,,false,false,,false
3110,140,F,9330/0,morphology,Fibroma,,ameloblastic (C41._),,false,false,,false
3111,140,F,8810/1,morphology,Fibroma,,cellular (C56.9),C56.9,false,false,,false
3112,140,F,9274/0,morphology,Fibroma,,cementifying (C41._),,false,false,,false
3113,140,F,9274/0,morphology,Fibroma,,cemento-ossifying (C41._),,false,false,,false
3114,140,F,9321/0,morphology,Fibroma,,central odontogenic (C41._),,false,false,,false
3115,140,F,9241/0,morphology,Fibroma,,"chondromyxoid (C40._, C41._)",,false,false,,false
3116,140,F,8823/0,morphology,Fibroma,,desmoplastic,,false,false,,false
3117,140,F,8813/0,morphology,Fibroma,,fascial,,false,false,,false
3118,140,F,8391/0,morphology,Fibroma,,follicular (C44._),,false,false,,false
3119,140,F,8821/1,morphology,Fibroma,,invasive,,false,false,,false
3120,140,F,,,Fibroma,,juvenile aponeurotic (see SNOMED),,false,true,,false
3121,140,F,8811/0,morphology,Fibroma,,myxoid,,false,false,,false
3122,140,F,,,Fibroma,,nonossifying (see SNOMED),,false,true,,false
3123,140,F,9321/0,morphology,Fibroma,,"odontogenic, central (C41._)",,false,false,,false
3124,140,F,9321/0,morphology,Fibroma,,"odontogenic, NOS (C41._)",,false,false,,false
3125,140,F,9322/0,morphology,Fibroma,,"odontogenic, peripheral (C41._)",,false,false,,false
3126,140,F,9262/0,morphology,Fibroma,,ossifying (C41._),,false,false,,false
