sort_order,code,behavior,term,synonyms,site_restriction,obs,group_code,group_name
690,9100/1,1,Invasive hydatidiform mole (C58.9),"Invasive mole, NOS (C58.9) | Chorioadenoma (C58.9) | Chorioadenoma destruens (C58.9) | Malignant hydatidiform mole (C58.9)",C58.9,false,910,Trophoblastic neoplasms
691,9100/3,3,"Choriocarcinoma, NOS",Chorioepithelioma | Chorionepithelioma,,false,910,Trophoblastic neoplasms
692,9101/3,3,Choriocarcinoma combined with other germ cell elements,Choriocarcinoma combined with embryonal carcinoma | Choriocarcinoma combined with teratoma,,false,910,Trophoblastic neoplasms
693,9102/3,3,"Malignant teratoma, trophoblastic",,,false,910,Trophoblastic neoplasms
694,9103/0,0,Partial hydatidiform mole (C58.9),,C58.9,false,910,Trophoblastic neoplasms
695,9104/1,1,Placental site trophoblastic tumor (C58.9),,C58.9,false,910,Trophoblastic neoplasms
696,9105/3,3,"Trophoblastic tumor, epithelioid",,,false,910,Trophoblastic neoplasms
697,9110/0,0,"Mesonephroma, benign",Mesonephric adenoma | Wolffian duct adenoma,,false,911,Mesonephromas
698,9110/1,1,"Mesonephric tumor, NOS",Wolffian duct tumor,,false,911,Mesonephromas
699,9110/3,3,"Mesonephroma, malignant","Mesonephroma, NOS | Mesonephric adenocarcinoma | Wolffian duct carcinoma",,false,911,Mesonephromas
700,9120/0,0,"Hemangioma, NOS","Angioma, NOS | Chorioangioma (C58.9)",C58.9,false,912-916,Blood vessel tumors
701,9120/3,3,Hemangiosarcoma,Angiosarcoma,,false,912-916,Blood vessel tumors
702,9121/0,0,Cavernous hemangioma,,,false,912-916,Blood vessel tumors
703,9122/0,0,Venous hemangioma,,,false,912-916,Blood vessel tumors
704,9123/0,0,Racemose hemangioma,Arteriovenous hemangioma,,false,912-916,Blood vessel tumors
705,9124/3,3,Kupffer cell sarcoma (C22.0),,C22.0,false,912-916,Blood vessel tumors
706,9125/0,0,Epithelioid hemangioma,Histiocytoid hemangioma,,false,912-916,Blood vessel tumors
707,9130/0,0,"Hemangioendothelioma, benign",,,false,912-916,Blood vessel tumors
708,9130/1,1,"Hemangioendothelioma, NOS",Angioendothelioma | Kaposiform hemangioendothelioma,,false,912-916,Blood vessel tumors
709,9130/3,3,"Hemangioendothelioma, malignant",Hemangioendothelial sarcoma,,false,912-916,Blood vessel tumors
710,9131/0,0,Capillary hemangioma,Hemangioma simplex | Infantile hemangioma | Juvenile hemangioma | Plexiform hemangioma,,false,912-916,Blood vessel tumors
711,9132/0,0,Intramuscular hemangioma,,,false,912-916,Blood vessel tumors
712,9133/1,1,"Epithelioid hemangioendothelioma, NOS",,,false,912-916,Blood vessel tumors
713,9133/3,3,"Epithelioid hemangioendothelioma, malignant",Intravascular bronchial alveolar tumor (C34._) [obs],,true,912-916,Blood vessel tumors
714,9135/1,1,Endovascular papillary angioendothelioma,Dabska tumor,,false,912-916,Blood vessel tumors
715,9136/1,1,Spindle cell hemangioendothelioma,Spindle cell angioendothelioma,,false,912-916,Blood vessel tumors
716,9140/3,3,Kaposi sarcoma,Multiple hemorrhagic sarcoma,,false,912-916,Blood vessel tumors
717,9141/0,0,Angiokeratoma,,,false,912-916,Blood vessel tumors
718,9142/0,0,Verrucous keratotic hemangioma,,,false,912-916,Blood vessel tumors
719,9150/0,0,"Hemangiopericytoma, benign",,,false,912-916,Blood vessel tumors
720,9150/1,1,"Hemangiopericytoma, NOS",Hemangiopericytic meningioma (C70._) | [obs],,true,912-916,Blood vessel tumors
721,9150/3,3,"Hemangiopericytoma, malignant",,,false,912-916,Blood vessel tumors
722,9160/0,0,"Angiofibroma, NOS",Fibrous papule of nose (C44.3) [obs] | Involuting nevus (C44._) [obs] | Juvenile angiofibroma | Cellular angiofibroma | Giant cell angiofibroma,C44.3,true,912-916,Blood vessel tumors
723,9161/0,0,Acquired tufted hemangioma,,,false,912-916,Blood vessel tumors
724,9161/1,1,Hemangioblastoma,Angioblastoma,,false,912-916,Blood vessel tumors
725,9170/0,0,"Lymphangioma, NOS","Lymphangioendothelioma, NOS",,false,917,Lymphatic vessel tumors
726,9170/3,3,Lymphangiosarcoma,"Lymphangioendothelial sarcoma | Lymphangioendothelioma, malignant",,false,917,Lymphatic vessel tumors
727,9171/0,0,Capillary lymphangioma,,,false,917,Lymphatic vessel tumors
728,9172/0,0,Cavernous lymphangioma,,,false,917,Lymphatic vessel tumors
729,9173/0,0,Cystic lymphangioma,"Hygroma, NOS | Cystic hygroma",,false,917,Lymphatic vessel tumors
730,9174/0,0,Lymphangiomyoma,,,false,917,Lymphatic vessel tumors
731,9174/1,1,Lymphangiomyomatosis,Lymphangioleiomyomatosis,,false,917,Lymphatic vessel tumors
732,9175/0,0,Hemolymphangioma,,,false,917,Lymphatic vessel tumors
733,9180/0,0,"Osteoma, NOS (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
734,9180/3,3,"Osteosarcoma, NOS (C40._, C41._)","Osteogenic sarcoma, NOS (C40._, C41._) | Osteoblastic sarcoma (C40._, C41._) | Osteochondrosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
735,9181/3,3,"Chondroblastic osteosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
736,9182/3,3,"Fibroblastic osteosarcoma (C40._, C41._)","Osteofibrosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
737,9183/3,3,"Telangiectatic osteosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
738,9184/3,3,"Osteosarcoma in Paget disease of bone (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
739,9185/3,3,"Small cell osteosarcoma (C40._, C41._)","Round cell osteosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
740,9186/3,3,"Central osteosarcoma (C40._, C41._)","Conventional central osteosarcoma (C40._, C41._) | Medullary osteosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
741,9187/3,3,"Intraosseous well differentiated osteosarcoma (C40._, C41._)","Intraosseous low grade osteosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
742,9191/0,0,"Osteoid osteoma, NOS (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
743,9192/3,3,"Parosteal osteosarcoma (C40._, C41._)","Juxtacortical osteosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
744,9193/3,3,"Periosteal osteosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
745,9194/3,3,"High grade surface osteosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
746,9195/3,3,"Intracortical osteosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
747,9200/0,0,"Osteoblastoma, NOS (C40._, C41._)","Giant osteoid osteoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
748,9200/1,1,"Aggressive osteoblastoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
749,9210/0,0,"Osteochondroma (C40._, C41._)","Cartilaginous exostosis (C40._, C41._) | Ecchondroma (C40._, C41._) | Osteocartilaginous exostosis (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
750,9210/1,1,"Osteochondromatosis, NOS (C40._, C41._)","Ecchondrosis (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
751,9220/0,0,"Chondroma, NOS (C40._, C41._)","Enchondroma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
752,9220/1,1,"Chondromatosis, NOS",,,false,918-924,Osseous and chondromatous neoplasms
753,9220/3,3,"Chondrosarcoma, NOS (C40._, C41._)","Fibrochondrosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
754,9221/0,0,"Juxtacortical chondroma (C40._, C41._)","Periosteal chondroma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
755,9221/3,3,"Juxtacortical chondrosarcoma (C40._, C41._)","Periosteal chondrosarcoma (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
756,9230/0,0,"Chondroblastoma, NOS (C40._, C41._)","Chondromatous giant cell tumor (C40._, C41._) | Codman tumor (C40._, C41._)",,false,918-924,Osseous and chondromatous neoplasms
757,9230/3,3,"Chondroblastoma, malignant (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
758,9231/3,3,Myxoid chondrosarcoma,,,false,918-924,Osseous and chondromatous neoplasms
759,9240/3,3,Mesenchymal chondrosarcoma,,,false,918-924,Osseous and chondromatous neoplasms
760,9241/0,0,"Chondromyxoid fibroma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
761,9242/3,3,"Clear cell chondrosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
762,9243/3,3,"Dedifferentiated chondrosarcoma (C40._, C41._)",,,false,918-924,Osseous and chondromatous neoplasms
763,9250/1,1,"Giant cell tumor of bone,","NOS (C40._, C41._) | Osteoclastoma, NOS (C40._, C41._)",,false,925,Giant cell tumors
764,9250/3,3,"Giant cell tumor of bone, malignant (C40._, C41._)","Giant cell sarcoma of bone (C40._, C41._) | Osteoclastoma, malignant (C40._, C41._)",,false,925,Giant cell tumors
765,9251/1,1,"Giant cell tumor of soft parts, NOS",,,false,925,Giant cell tumors
766,9251/3,3,Malignant giant cell tumor of soft parts,,,false,925,Giant cell tumors
767,9252/0,0,Tenosynovial giant cell tumor (C49._),Fibrous histiocytoma of tendon sheath (C49._) | Giant cell tumor of tendon sheath (C49._),,false,925,Giant cell tumors
768,9252/3,3,Malignant tenosynovial giant cell tumor (C49._),"Giant cell tumor of tendon sheath, malignant (C49._)",,false,925,Giant cell tumors
769,9260/3,3,Ewing sarcoma,Ewing tumor,,false,926,Miscellaneous bone tumors
770,9261/3,3,Adamantinoma of long bones (C40._),Tibial adamantinoma (C40.2),C40.2,false,926,Miscellaneous bone tumors
771,9262/0,0,Ossifying fibroma,Fibro-osteoma | Osteofibroma,,false,926,Miscellaneous bone tumors
772,9270/0,0,"Odontogenic tumor, benign",,,false,927-934,Odontogenic tumors
773,9270/1,1,"Odontogenic tumor, NOS",,,false,927-934,Odontogenic tumors
774,9270/3,3,"Odontogenic tumor, malignant",Ameloblastic carcinoma | Odontogenic carcinoma | Odontogenic sarcoma | Primary intraosseous carcinoma,,false,927-934,Odontogenic tumors
775,9271/0,0,Ameloblastic fibrodentinoma,Dentinoma,,false,927-934,Odontogenic tumors
776,9272/0,0,"Cementoma, NOS",Periapical cemental dysplasia | Periapical cemento-osseous dysplasia,,false,927-934,Odontogenic tumors
777,9273/0,0,"Cementoblastoma, benign",,,false,927-934,Odontogenic tumors
778,9274/0,0,Cementifying fibroma,Cemento-ossifying fibroma,,false,927-934,Odontogenic tumors
779,9275/0,0,Gigantiform cementoma,Florid osseous dysplasia,,false,927-934,Odontogenic tumors
780,9280/0,0,"Odontoma, NOS",,,false,927-934,Odontogenic tumors
781,9281/0,0,Compound odontoma,,,false,927-934,Odontogenic tumors
782,9282/0,0,Complex odontoma,,,false,927-934,Odontogenic tumors
783,9290/0,0,Ameloblastic fibro-odontoma,Fibroameloblastic odontoma,,false,927-934,Odontogenic tumors
784,9290/3,3,Ameloblastic odontosarcoma,Ameloblastic fibro-odontosarcoma | Ameloblastic fibrodentinosarcoma,,false,927-934,Odontogenic tumors
785,9300/0,0,Adenomatoid odontogenic tumor,Adenoameloblastoma,,false,927-934,Odontogenic tumors
786,9301/0,0,Calcifying odontogenic cyst,,,false,927-934,Odontogenic tumors
787,9302/0,0,Odontogenic ghost cell tumor,,,false,927-934,Odontogenic tumors
788,9310/0,0,"Ameloblastoma, NOS","Adamantinoma, NOS (except of long bones M-9261/3)",,false,927-934,Odontogenic tumors
789,9310/3,3,"Ameloblastoma, malignant","Adamantinoma, malignant (except of long bones M-9261/3)",,false,927-934,Odontogenic tumors
790,9311/0,0,Odontoameloblastoma,,,false,927-934,Odontogenic tumors
791,9312/0,0,Squamous odontogenic tumor,,,false,927-934,Odontogenic tumors
792,9320/0,0,Odontogenic myxoma,Odontogenic myxofibroma,,false,927-934,Odontogenic tumors
793,9321/0,0,Central odontogenic fibroma,"Odontogenic fibroma, NOS",,false,927-934,Odontogenic tumors
794,9322/0,0,Peripheral odontogenic fibroma,,,false,927-934,Odontogenic tumors
795,9330/0,0,Ameloblastic fibroma,,,false,927-934,Odontogenic tumors
796,9330/3,3,Ameloblastic fibrosarcoma,Ameloblastic sarcoma | Odontogenic fibrosarcoma,,false,927-934,Odontogenic tumors
797,9340/0,0,Calcifying epithelial odontogenic tumor,Pindborg tumor,,false,927-934,Odontogenic tumors
798,9341/1,1,Clear cell odontogenic tumor,,,false,927-934,Odontogenic tumors
799,9342/3,3,Odontogenic carcinosarcoma,,,false,927-934,Odontogenic tumors
800,9350/1,1,Craniopharyngioma (C75.2),Rathke pouch tumor (C75.1),C75.2,false,935-937,Miscellaneous tumors
801,9351/1,1,"Craniopharyngioma, adamantinomatous (C75.2)",,C75.2,false,935-937,Miscellaneous tumors
802,9352/1,1,"Craniopharyngioma, papillary (C75.2)",,C75.2,false,935-937,Miscellaneous tumors
803,9360/1,1,Pinealoma (C75.3),,C75.3,false,935-937,Miscellaneous tumors
804,9361/1,1,Pineocytoma (C75.3),,C75.3,false,935-937,Miscellaneous tumors
805,9362/3,3,Pineoblastoma (C75.3),Mixed pineal tumor (C75.3) | Mixed pineocytoma-pineoblastoma (C75.3) | Pineal parenchymal tumor of intermediate differentiation (C75.3) | Transitional pineal tumor (C75.3),C75.3,false,935-937,Miscellaneous tumors
806,9363/0,0,Melanotic neuroectodermal tumor,Melanoameloblastoma | Melanotic progonoma | Retinal anlage tumor,,false,935-937,Miscellaneous tumors
807,9364/3,3,Peripheral neuroectodermal tumor,"Neuroectodermal tumor, NOS | Peripheral primitive neuroectodermal tumor, | NOS | PPNET",,false,935-937,Miscellaneous tumors
808,9365/3,3,Askin tumor,,,false,935-937,Miscellaneous tumors
809,9370/3,3,"Chordoma, NOS",,,false,935-937,Miscellaneous tumors
810,9371/3,3,Chondroid chordoma,,,false,935-937,Miscellaneous tumors
811,9372/3,3,Dedifferentiated chordoma,,,false,935-937,Miscellaneous tumors
812,9373/0,0,Parachordoma,,,false,935-937,Miscellaneous tumors
813,9380/3,3,"Glioma, malignant (C71._)","Glioma, NOS (C71._) (except nasal glioma, not neoplastic)",,false,938-948,Gliomas
814,9381/3,3,Gliomatosis cerebri (C71._),,,false,938-948,Gliomas
815,9382/3,3,Mixed glioma (C71._),Anaplastic oligoastrocytoma (C71._) | Oligoastrocytoma (C71._),,false,938-948,Gliomas
816,9383/1,1,Subependymoma (C71._),"Subependymal astrocytoma, NOS (C71._) | Subependymal glioma (C71._) | Mixed subependymoma-ependymoma (C71._)",,false,938-948,Gliomas
817,9384/1,1,Subependymal giant cell astrocytoma (C71._),,,false,938-948,Gliomas
818,9390/0,0,"Choroid plexus papilloma, NOS (C71.5)",,C71.5,false,938-948,Gliomas
819,9390/1,1,Atypical choroid plexus papilloma (C71.5),,C71.5,false,938-948,Gliomas
820,9390/3,3,Choroid plexus carcinoma (C71.5),"Choroid plexus papilloma, anaplastic (C71.5) | Choroid plexus papilloma, malignant (C71.5)",C71.5,false,938-948,Gliomas
821,9391/3,3,"Ependymoma, NOS (C71._)",Epithelial ependymoma (C71._) | Cellular ependymoma (C71._) | Clear cell ependymoma (C71._) | Tanycytic ependymoma (C71._),,false,938-948,Gliomas
822,9392/3,3,"Ependymoma, anaplastic (C71._)",Ependymoblastoma (C71._),,false,938-948,Gliomas
823,9393/3,3,Papillary ependymoma (C71._),,,false,938-948,Gliomas
824,9394/1,1,Myxopapillary ependymoma (C72.0),,C72.0,false,938-948,Gliomas
825,9395/3,3,Papillary tumor of the pineal region,,,false,938-948,Gliomas
826,9400/3,3,"Astrocytoma, NOS (C71._)","Astrocytic glioma (C71._) | Astroglioma (C71._) [obs] | Astrocytoma, low grade (C71._) | Cystic astrocytoma (C71._) [obs] | Diffuse astrocytoma (C71._) | Diffuse astrocytoma, low grade (C71._)",,true,938-948,Gliomas
827,9401/3,3,"Astrocytoma, anaplastic (C71._)",,,false,938-948,Gliomas
828,9410/3,3,Protoplasmic astrocytoma (C71._),,,false,938-948,Gliomas
829,9411/3,3,Gemistocytic astrocytoma (C71._),Gemistocytoma (C71._),,false,938-948,Gliomas
830,9412/1,1,Desmoplastic infantile astrocytoma (C71._),Desmoplastic infantile ganglioglioma (C71._),,false,938-948,Gliomas
831,9413/0,0,Dysembryoplastic neuroepithelial tumor,,,false,938-948,Gliomas
832,9420/3,3,Fibrillary astrocytoma (C71._),Fibrous astrocytoma (C71._),,false,938-948,Gliomas
833,9421/1,1,Pilocytic astrocytoma (C71._),"Spongioblastoma, NOS (C71._) [obs] | Juvenile astrocytoma (C71._) | Piloid astrocytoma (C71._)",,true,938-948,Gliomas
834,9423/3,3,Polar spongioblastoma (C71._),Primitive polar spongioblastoma (C71._) | [obs] | Spongioblastoma polare (C71._),,true,938-948,Gliomas
835,9424/3,3,Pleomorphic xanthoastrocytoma (C71._),,,false,938-948,Gliomas
836,9425/3,3,Pilomyxoid astrocytoma,,,false,938-948,Gliomas
837,9430/3,3,Astroblastoma (C71._),,,false,938-948,Gliomas
838,9431/1,1,Angiocentric glioma,,,false,938-948,Gliomas
839,9432/1,1,Pituicytoma,,,false,938-948,Gliomas
840,9440/3,3,"Glioblastoma, NOS (C71._)",Glioblastoma multiforme (C71._) | Spongioblastoma multiforme (C71._),,false,938-948,Gliomas
841,9441/3,3,Giant cell glioblastoma (C71._),Monstrocellular sarcoma (C71._) [obs],,true,938-948,Gliomas
842,9442/1,1,Gliofibroma (C71._),,,false,938-948,Gliomas
843,9442/3,3,Gliosarcoma (C71._),Glioblastoma with sarcomatous component (C71._),,false,938-948,Gliomas
844,9444/1,1,Chordoid glioma (C71._),Chordoid glioma of third ventricle (C71.5),C71.5,false,938-948,Gliomas
845,9450/3,3,"Oligodendroglioma, NOS (C71._)",,,false,938-948,Gliomas
846,9451/3,3,"Oligodendroglioma, anaplastic (C71._)",,,false,938-948,Gliomas
847,9460/3,3,Oligodendroblastoma (C71._) [obs],,,true,938-948,Gliomas
848,9470/3,3,"Medulloblastoma, NOS (C71.6)",Melanotic medulloblastoma (C71.6),C71.6,false,938-948,Gliomas
849,9471/3,3,Desmoplastic nodular medulloblastoma (C71.6),Circumscribed arachnoidal cerebellar sarcoma (C71.6) [obs] | Desmoplastic medulloblastoma (C71.6) | Medulloblastoma with extensive nodularity,C71.6,true,938-948,Gliomas
850,9472/3,3,Medullomyoblastoma (C71.6),,C71.6,false,938-948,Gliomas
851,9473/3,3,"Primitive neuroectodermal tumor, NOS","PNET, NOS | Central primitive neuroectodermal tumor, | NOS (C71._) | CPNET (C71._) | Supratentorial PNET (C71._)",,false,938-948,Gliomas
852,9474/3,3,Large cell medulloblastoma (C71.6),Anaplastic medulloblastoma,C71.6,false,938-948,Gliomas
853,9480/3,3,"Cerebellar sarcoma, NOS (C71.6) [obs]",,C71.6,true,938-948,Gliomas
854,9490/0,0,Ganglioneuroma,,,false,949-952,Neuroepitheliomatous neoplasms
855,9490/3,3,Ganglioneuroblastoma,,,false,949-952,Neuroepitheliomatous neoplasms
856,9491/0,0,Ganglioneuromatosis,,,false,949-952,Neuroepitheliomatous neoplasms
857,9492/0,0,Gangliocytoma,,,false,949-952,Neuroepitheliomatous neoplasms
858,9493/0,0,Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos) (C71.6),,C71.6,false,949-952,Neuroepitheliomatous neoplasms
859,9500/3,3,"Neuroblastoma, NOS",Central neuroblastoma (C71._) | Sympathicoblastoma,,false,949-952,Neuroepitheliomatous neoplasms
860,9501/0,0,"Medulloepithelioma, benign (C69.4)","Diktyoma, benign (C69._)",C69.4,false,949-952,Neuroepitheliomatous neoplasms
861,9501/3,3,"Medulloepithelioma, NOS","Diktyoma, malignant (C69._)",,false,949-952,Neuroepitheliomatous neoplasms
862,9502/0,0,"Teratoid medulloepithelioma, benign (C69.4)",,C69.4,false,949-952,Neuroepitheliomatous neoplasms
863,9502/3,3,Teratoid medulloepithelioma,,,false,949-952,Neuroepitheliomatous neoplasms
864,9503/3,3,"Neuroepithelioma, NOS",,,false,949-952,Neuroepitheliomatous neoplasms
865,9504/3,3,Spongioneuroblastoma,,,false,949-952,Neuroepitheliomatous neoplasms
866,9505/1,1,"Ganglioglioma, NOS",Glioneuroma [obs] | Neuroastrocytoma [obs],,true,949-952,Neuroepitheliomatous neoplasms
867,9505/3,3,"Ganglioglioma, anaplastic",,,false,949-952,Neuroepitheliomatous neoplasms
868,9506/1,1,Central neurocytoma,Neurocytoma | Cerebellar liponeurocytoma (C71.6) | Lipomatous medulloblastoma (C71.6) | Medullocytoma (C71.6) | Neurolipocytoma (C71.6) | Extraventricular neurocytoma,C71.6,false,949-952,Neuroepitheliomatous neoplasms
869,9507/0,0,Pacinian tumor,,,false,949-952,Neuroepitheliomatous neoplasms
870,9508/3,3,Atypical teratoid/rhabdoid tumor (C71._),,,false,949-952,Neuroepitheliomatous neoplasms
871,9509/1,1,Papillary glioneuronal tumor,Rosette-forming glioneuronal tumor,,false,949-952,Neuroepitheliomatous neoplasms
872,9510/0,0,Retinocytoma (C69.2),,C69.2,false,949-952,Neuroepitheliomatous neoplasms
873,9510/3,3,"Retinoblastoma, NOS (C69.2)",,C69.2,false,949-952,Neuroepitheliomatous neoplasms
874,9511/3,3,"Retinoblastoma, differentiated (C69.2)",,C69.2,false,949-952,Neuroepitheliomatous neoplasms
875,9512/3,3,"Retinoblastoma, undifferentiated (C69.2)",,C69.2,false,949-952,Neuroepitheliomatous neoplasms
876,9513/3,3,"Retinoblastoma, diffuse (C69.2)",,C69.2,false,949-952,Neuroepitheliomatous neoplasms
877,9514/1,1,"Retinoblastoma, spontaneously regressed (C69.2)",,C69.2,false,949-952,Neuroepitheliomatous neoplasms
878,9520/3,3,Olfactory neurogenic tumor,,,false,949-952,Neuroepitheliomatous neoplasms
879,9521/3,3,Olfactory neurocytoma (C30.0),Esthesioneurocytoma (C30.0),C30.0,false,949-952,Neuroepitheliomatous neoplasms
880,9522/3,3,Olfactory neuroblastoma (C30.0),Esthesioneuroblastoma (C30.0),C30.0,false,949-952,Neuroepitheliomatous neoplasms
881,9523/3,3,Olfactory neuroepithelioma (C30.0),Esthesioneuroepithelioma (C30.0),C30.0,false,949-952,Neuroepitheliomatous neoplasms
882,9530/0,0,"Meningioma, NOS",Lymphoplasmacyte-rich meningioma | Metaplastic meningioma | Microcystic meningioma | Secretory meningioma,,false,953,Meningiomas
883,9530/1,1,"Meningiomatosis, NOS",Diffuse meningiomatosis | Multiple meningiomas,,false,953,Meningiomas
884,9530/3,3,"Meningioma, malignant","Leptomeningeal sarcoma | Meningeal sarcoma | Meningioma, anaplastic | Meningothelial sarcoma",,false,953,Meningiomas
885,9531/0,0,Meningothelial meningioma,Endotheliomatous meningioma | Syncytial meningioma,,false,953,Meningiomas
886,9532/0,0,Fibrous meningioma,Fibroblastic meningioma,,false,953,Meningiomas
887,9533/0,0,Psammomatous meningioma,,,false,953,Meningiomas
888,9534/0,0,Angiomatous meningioma,,,false,953,Meningiomas
889,9535/0,0,Hemangioblastic meningioma [obs],Angioblastic meningioma [obs],,true,953,Meningiomas
890,9537/0,0,Transitional meningioma,Mixed meningioma,,false,953,Meningiomas
891,9538/1,1,Clear cell meningioma,Chordoid meningioma,,false,953,Meningiomas
892,9538/3,3,Papillary meningioma,Rhabdoid meningioma,,false,953,Meningiomas
893,9539/1,1,Atypical meningioma,,,false,953,Meningiomas
894,9539/3,3,Meningeal sarcomatosis,,,false,953,Meningiomas
895,9540/0,0,"Neurofibroma, NOS",,,false,954-957,Nerve sheath tumors
896,9540/1,1,"Neurofibromatosis, NOS",Multiple neurofibromatosis | Recklinghausen disease (except of bone) | Von Recklinghausen disease (except of bone),,false,954-957,Nerve sheath tumors
897,9540/3,3,Malignant peripheral nerve sheath tumor,"MPNST, NOS | Neurofibrosarcoma [obs] | Neurogenic sarcoma [obs] | Neurosarcoma [obs] | Epithelioid MPNST | Melanotic MPNST | Melanotic psammomatous MPNST | MPNST with glandular differentiation | MPNST with mesenchymal differentiation",,true,954-957,Nerve sheath tumors
898,9541/0,0,Melanotic neurofibroma,,,false,954-957,Nerve sheath tumors
899,9550/0,0,Plexiform neurofibroma,Plexiform neuroma,,false,954-957,Nerve sheath tumors
900,9560/0,0,"Neurilemoma, NOS","Schwannoma, NOS | Neurinoma | Acoustic neuroma (C72.4) | Ancient schwannoma | Cellular schwannoma | Degenerated schwannoma | Pigmented schwannoma | Melanotic schwannoma | Plexiform schwannoma | Psammomatous schwannoma",C72.4,false,954-957,Nerve sheath tumors
901,9560/1,1,Neurinomatosis,,,false,954-957,Nerve sheath tumors
902,9560/3,3,"Neurilemoma, malignant [obs]","Malignant schwannoma, NOS [obs] | Neurilemosarcoma [obs]",,true,954-957,Nerve sheath tumors
903,9561/3,3,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,"Malignant schwannoma with rhabdomyoblastic differentiation | MPNST with rhabdomyoblastic differentiation | Triton tumor, malignant",,false,954-957,Nerve sheath tumors
904,9562/0,0,Neurothekeoma,Nerve sheath myxoma,,false,954-957,Nerve sheath tumors
905,9570/0,0,"Neuroma, NOS",,,false,954-957,Nerve sheath tumors
906,9571/0,0,"Perineurioma, NOS",Intraneural perineurioma | Soft tissue perineurioma,,false,954-957,Nerve sheath tumors
907,9571/3,3,"Perineurioma, malignant",Perineural MPNST,,false,954-957,Nerve sheath tumors
908,9580/0,0,"Granular cell tumor, NOS","Granular cell myoblastoma, NOS",,false,958,Granular cell tumors and alveolar soft part sarcomas
909,9580/3,3,"Granular cell tumor, malignant","Granular cell myoblastoma, malignant",,false,958,Granular cell tumors and alveolar soft part sarcomas
910,9581/3,3,Alveolar soft part sarcoma,,,false,958,Granular cell tumors and alveolar soft part sarcomas
911,9582/0,0,Granular cell tumor of the sellar region (C75.1),,C75.1,false,958,Granular cell tumors and alveolar soft part sarcomas
912,9590/3,3,"Malignant lymphoma, NOS","Lymphoma, NOS | Microglioma (C71._) [obs]",,true,959,"Malignant lymphomas, NOS or diffuse"
913,9591/3,3,"Malignant lymphoma, non-Hodgkin, NOS 9652/3 Hodgkin lymphoma, mixed","Non-Hodgkin lymphoma, NOS | B cell lymphoma, NOS | Lymphosarcoma, NOS [obs] | Lymphosarcoma, diffuse [obs] | Malignant lymphoma, diffuse, NOS | Malignant lymphoma, non-cleaved cell, NOS | Reticulum cell sarcoma, NOS [obs] | Reticulosarcoma, NOS [obs] | Reticulum cell sarcoma, diffuse [obs] | Reticulosarcoma, diffuse [obs] | Hairy cell leukemia variant | Malignant lymphoma, lymphocytic, intermediate differentiation, nodular [obs] | Malignant lymphoma, lymphocytic, poorly differentiated, diffuse [obs] | Malignant lymphoma, cleaved cell, NOS | [obs] | Malignant lymphoma, small cleaved cell, | NOS [obs] | Malignant lymphoma, small cell, noncleaved, diffuse [obs] | Malignant lymphoma, undifferentiated cell type, NOS [obs] | Malignant lymphoma, undifferentiated cell, non-Burkitt [obs] | Malignant lymphoma, small cleaved cell, diffuse [obs] | Splenic B-cell lymphoma/leukemia, unclassifiable | Splenic diffuse red pulp small B-cell lymphoma",,true,959,"Malignant lymphomas, NOS or diffuse"
914,9596/3,3,Composite Hodgkin and non-,"Hodgkin lymphoma | B-cell lymphoma, unclassifiable, with features intermediate between diffuse large | B-cell lymphoma and classical Hodgkin lymphoma",,false,959,"Malignant lymphomas, NOS or diffuse"
915,9597/3,3,Primary cutaneous follicle centre lymphoma,,,false,959,"Malignant lymphomas, NOS or diffuse"
